table_name,row_key,method,metric,paper_value,our_value,diff_abs,diff_pct,status,notes
table_1_method_comparison,probability=80,BD,gap_to_best_percent,36.23,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BD,gap_to_best_percent,22.48,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BC,gap_to_best_percent,2.24,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BC,gap_to_best_percent,0.21,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BC,gap_to_best_percent,0.11,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BC,gap_to_best_percent,0.85,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BD,gap_to_best_percent,4.74,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BD,gap_to_best_percent,16.14,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BD,gap_to_best_percent,21.19,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BD,gap_to_best_percent,14.02,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BC,total_time_seconds,12037,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BC,total_time_seconds,23952,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BC,total_time_seconds,35838,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BC,total_time_seconds,23942.39,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BD,total_time_seconds,31352,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BD,total_time_seconds,32130,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BD,total_time_seconds,32823,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BD,total_time_seconds,32101.51,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BC,total_time_seconds,7905,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BC,total_time_seconds,14385,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BC,total_time_seconds,23499,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BC,total_time_seconds,15262.93,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BD,total_time_seconds,33502,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BD,total_time_seconds,36072,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BD,total_time_seconds,36090,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BD,total_time_seconds,35221.36,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BC,time_to_best_seconds,4098,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BC,time_to_best_seconds,6550,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BC,time_to_best_seconds,7406,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BC,time_to_best_seconds,6017.92,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BD,time_to_best_seconds,3145,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BD,time_to_best_seconds,5224,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BD,time_to_best_seconds,6940,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BD,time_to_best_seconds,5103.41,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BC,time_to_best_seconds,5049,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BC,time_to_best_seconds,7383,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BC,time_to_best_seconds,9003,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BC,time_to_best_seconds,7145.02,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BD,time_to_best_seconds,6731,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BD,time_to_best_seconds,7923,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BD,time_to_best_seconds,9500,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BD,time_to_best_seconds,8051.56,,,,not_run,full experiment raw result not available yet
