table_name,row_key,method,metric,paper_value,our_value,diff_abs,diff_pct,status,notes
table_1_method_comparison,probability=20,ALL,number_of_instances,46,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,ALL,number_of_instances,46,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,ALL,number_of_instances,46,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,ALL,number_of_instances,138,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BC,number_of_optimal,31,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BC,number_of_optimal,16,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BC,number_of_optimal,0,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BC,number_of_optimal,47,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BD,number_of_optimal,30,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BD,number_of_optimal,16,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BD,number_of_optimal,0,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BD,number_of_optimal,46,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BC,number_of_optimal,30,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BC,number_of_optimal,11,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BC,number_of_optimal,0,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BC,number_of_optimal,41,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BD,number_of_optimal,30,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BD,number_of_optimal,14,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BD,number_of_optimal,0,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BD,number_of_optimal,44,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BC,total_cost,184.56,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BC,total_cost,1310.1,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BC,total_cost,2833.0,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BC,total_cost,1442.55,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BD,total_cost,171.32,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BD,total_cost,395.91,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BD,total_cost,588.29,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BD,total_cost,385.17,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BC,total_cost,154.88,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BC,total_cost,257.83,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BC,total_cost,346.32,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BC,total_cost,253.01,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,SAA-BD,total_cost,164.08,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,SAA-BD,total_cost,354.17,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,SAA-BD,total_cost,501.29,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,SAA-BD,total_cost,339.84,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BC,gap_to_best_percent,8.5,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BC,gap_to_best_percent,160.44,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=80,BC,gap_to_best_percent,300.63,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=total,BC,gap_to_best_percent,156.52,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=20,BD,gap_to_best_percent,6.43,,,,not_run,full experiment raw result not available yet
table_1_method_comparison,probability=50,BD,gap_to_best_percent,24.78,,,,not_run,full experiment raw result not available yet
