table_name,row_key,method,metric,paper_value,our_value,diff_abs,diff_pct,status,notes
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,number_of_instances,23,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,total_cost,156.77,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,travel_cost_percent,95.95,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,consistency_penalty_percent,0.24,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,skipping_cost_percent,3.81,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,number_of_clusters,1.74,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,violation_level,0.36,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=20,SAA-BC,skipped_customers_percent,1.14,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,number_of_instances,23,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,total_cost,257.97,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,travel_cost_percent,91.86,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,consistency_penalty_percent,1.93,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,skipping_cost_percent,6.21,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,number_of_clusters,3.26,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,violation_level,6.87,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=50,SAA-BC,skipped_customers_percent,1.27,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,number_of_instances,23,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,total_cost,351.31,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,travel_cost_percent,92.32,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,consistency_penalty_percent,3.28,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,skipping_cost_percent,4.41,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,number_of_clusters,4.3,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,violation_level,14.27,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=500;alpha=80,SAA-BC,skipped_customers_percent,0.72,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,number_of_instances,138,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,total_cost,253.01,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,travel_cost_percent,93.64,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,consistency_penalty_percent,1.93,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,skipping_cost_percent,4.43,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,number_of_clusters,3.01,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,violation_level,7.37,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,total,SAA-BC,skipped_customers_percent,0.98,,,,not_run,full experiment raw result not available yet
