table_name,row_key,method,metric,paper_value,our_value,diff_abs,diff_pct,status,notes
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,number_of_instances,23,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,total_cost,152.99,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,travel_cost_percent,96.55,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,consistency_penalty_percent,0.07,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,skipping_cost_percent,3.38,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,number_of_clusters,1.7,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,violation_level,0.19,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=20,SAA-BC,skipped_customers_percent,0.98,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,number_of_instances,23,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,total_cost,257.7,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,travel_cost_percent,92.08,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,consistency_penalty_percent,1.93,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,skipping_cost_percent,5.99,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,number_of_clusters,3.04,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,violation_level,5.82,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=50,SAA-BC,skipped_customers_percent,1.33,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,number_of_instances,23,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,total_cost,341.33,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,travel_cost_percent,93.08,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,consistency_penalty_percent,4.15,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,skipping_cost_percent,2.77,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,number_of_clusters,4.04,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,violation_level,16.7,,,,not_run,full experiment raw result not available yet
table_3_saa_bc_solution_attributes,omega=100;alpha=80,SAA-BC,skipped_customers_percent,0.44,,,,not_run,full experiment raw result not available yet
